Token('STRUCT', 'struct', line=1, col=1)
Token('ID', 'Point', line=1, col=8)
Token('LBRACE', '{', line=1, col=14)
Token('T_INT', 'int', line=2, col=5)
Token('ID', 'x', line=2, col=9)
Token('SEMI', ';', line=2, col=10)
Token('T_INT', 'int', line=3, col=5)
Token('ID', 'y', line=3, col=9)
Token('SEMI', ';', line=3, col=10)
Token('RBRACE', '}', line=4, col=1)
Token('SEMI', ';', line=4, col=2)
Token('CONST', 'const', line=6, col=1)
Token('T_FLOAT', 'float', line=6, col=7)
Token('ID', 'PI', line=6, col=13)
Token('ASSIGN', '=', line=6, col=16)
Token('FLOAT_LIT', '3.14', line=6, col=18)
Token('SEMI', ';', line=6, col=22)
Token('T_INT', 'int', line=7, col=1)
Token('ID', 'counter', line=7, col=5)
Token('ASSIGN', '=', line=7, col=13)
Token('INT_LIT', '0', line=7, col=15)
Token('SEMI', ';', line=7, col=16)
Token('T_INT', 'int', line=8, col=1)
Token('ID', 'arr', line=8, col=5)
Token('LBRACKET', '[', line=8, col=8)
Token('INT_LIT', '10', line=8, col=9)
Token('RBRACKET', ']', line=8, col=11)
Token('SEMI', ';', line=8, col=12)
Token('T_VOID', 'void', line=10, col=1)
Token('ID', 'swap', line=10, col=6)
Token('LPAREN', '(', line=10, col=10)
Token('T_INT', 'int', line=10, col=11)
Token('ID', 'a', line=10, col=15)
Token('COMMA', ',', line=10, col=16)
Token('T_INT', 'int', line=10, col=18)
Token('ID', 'b', line=10, col=22)
Token('RPAREN', ')', line=10, col=23)
Token('LBRACE', '{', line=10, col=25)
Token('T_INT', 'int', line=11, col=5)
Token('ID', 'temp', line=11, col=9)
Token('ASSIGN', '=', line=11, col=14)
Token('ID', 'a', line=11, col=16)
Token('SEMI', ';', line=11, col=17)
Token('ID', 'a', line=12, col=5)
Token('ASSIGN', '=', line=12, col=7)
Token('ID', 'b', line=12, col=9)
Token('SEMI', ';', line=12, col=10)
Token('ID', 'b', line=13, col=5)
Token('ASSIGN', '=', line=13, col=7)
Token('ID', 'temp', line=13, col=9)
Token('SEMI', ';', line=13, col=13)
Token('RBRACE', '}', line=14, col=1)
Token('T_INT', 'int', line=16, col=1)
Token('ID', 'factorial', line=16, col=5)
Token('LPAREN', '(', line=16, col=14)
