
============================================================
  Análisis léxico de: manual_cases/input/high_massive.txt
============================================================

  TOKEN                   LEXEMA                  POSICIÓN
  --------------------------------------------------------
  STRUCT                  'struct'                L1:C1
  ID                      'Point'                 L1:C8
  LBRACE                  '{'                     L1:C14
  T_INT                   'int'                   L2:C5
  ID                      'x'                     L2:C9
  SEMI                    ';'                     L2:C10
  T_INT                   'int'                   L3:C5
  ID                      'y'                     L3:C9
  SEMI                    ';'                     L3:C10
  RBRACE                  '}'                     L4:C1
  SEMI                    ';'                     L4:C2
  CONST                   'const'                 L6:C1
  T_FLOAT                 'float'                 L6:C7
  ID                      'PI'                    L6:C13
  ASSIGN                  '='                     L6:C16
  FLOAT_LIT               '3.14'                  L6:C18
  SEMI                    ';'                     L6:C22
  T_INT                   'int'                   L7:C1
  ID                      'counter'               L7:C5
  ASSIGN                  '='                     L7:C13
  INT_LIT                 '0'                     L7:C15
  SEMI                    ';'                     L7:C16
  T_INT                   'int'                   L8:C1
  ID                      'arr'                   L8:C5
  LBRACKET                '['                     L8:C8
  INT_LIT                 '10'                    L8:C9
  RBRACKET                ']'                     L8:C11
  SEMI                    ';'                     L8:C12
  T_VOID                  'void'                  L10:C1
  ID                      'swap'                  L10:C6
  LPAREN                  '('                     L10:C10
  T_INT                   'int'                   L10:C11
  ID                      'a'                     L10:C15
  COMMA                   ','                     L10:C16
  T_INT                   'int'                   L10:C18
  ID                      'b'                     L10:C22
  RPAREN                  ')'                     L10:C23
  LBRACE                  '{'                     L10:C25
  T_INT                   'int'                   L11:C5
  ID                      'temp'                  L11:C9
  ASSIGN                  '='                     L11:C14
  ID                      'a'                     L11:C16
  SEMI                    ';'                     L11:C17
  ID                      'a'                     L12:C5
  ASSIGN                  '='                     L12:C7
  ID                      'b'                     L12:C9
  SEMI                    ';'                     L12:C10
  ID                      'b'                     L13:C5
  ASSIGN                  '='                     L13:C7
  ID                      'temp'                  L13:C9
  SEMI                    ';'                     L13:C13
  RBRACE                  '}'                     L14:C1
  T_INT                   'int'                   L16:C1
  ID                      'factorial'             L16:C5
  LPAREN                  '('                     L16:C14
  T_INT                   'int'                   L16:C15
  ID                      'n'                     L16:C19
  RPAREN                  ')'                     L16:C20
  LBRACE                  '{'                     L16:C22
  IF                      'if'                    L17:C5
  LPAREN                  '('                     L17:C8
  ID                      'n'                     L17:C9
  LEQ                     '<='                    L17:C11
  INT_LIT                 '1'                     L17:C14
  RPAREN                  ')'                     L17:C15
  LBRACE                  '{'                     L17:C17
  RETURN                  'return'                L18:C9
  INT_LIT                 '1'                     L18:C16
  SEMI                    ';'                     L18:C17
  RBRACE                  '}'                     L19:C5
  RETURN                  'return'                L20:C5
  ID                      'n'                     L20:C12
  TIMES                   '*'                     L20:C14
  ID                      'factorial'             L20:C16
